time_id,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,year_month,is_rainy_season,is_dengue_peak,is_school_holiday,is_ramadan,is_lebaran
1,2022-01-01,2022,1,1,January,52,5,Saturday,True,2022-01,True,True,True,False,False
2,2022-01-02,2022,1,1,January,52,6,Sunday,True,2022-01,True,True,True,False,False
3,2022-01-03,2022,1,1,January,1,0,Monday,False,2022-01,True,True,True,False,False
4,2022-01-04,2022,1,1,January,1,1,Tuesday,False,2022-01,True,True,True,False,False
5,2022-01-05,2022,1,1,January,1,2,Wednesday,False,2022-01,True,True,True,False,False
6,2022-01-06,2022,1,1,January,1,3,Thursday,False,2022-01,True,True,True,False,False
7,2022-01-07,2022,1,1,January,1,4,Friday,False,2022-01,True,True,True,False,False
8,2022-01-08,2022,1,1,January,1,5,Saturday,True,2022-01,True,True,True,False,False
9,2022-01-09,2022,1,1,January,1,6,Sunday,True,2022-01,True,True,True,False,False
10,2022-01-10,2022,1,1,January,2,0,Monday,False,2022-01,True,True,True,False,False
11,2022-01-11,2022,1,1,January,2,1,Tuesday,False,2022-01,True,True,True,False,False
12,2022-01-12,2022,1,1,January,2,2,Wednesday,False,2022-01,True,True,True,False,False
13,2022-01-13,2022,1,1,January,2,3,Thursday,False,2022-01,True,True,True,False,False
14,2022-01-14,2022,1,1,January,2,4,Friday,False,2022-01,True,True,True,False,False
15,2022-01-15,2022,1,1,January,2,5,Saturday,True,2022-01,True,True,True,False,False
16,2022-01-16,2022,1,1,January,2,6,Sunday,True,2022-01,True,True,True,False,False
17,2022-01-17,2022,1,1,January,3,0,Monday,False,2022-01,True,True,True,False,False
18,2022-01-18,2022,1,1,January,3,1,Tuesday,False,2022-01,True,True,True,False,False
19,2022-01-19,2022,1,1,January,3,2,Wednesday,False,2022-01,True,True,True,False,False
20,2022-01-20,2022,1,1,January,3,3,Thursday,False,2022-01,True,True,True,False,False
21,2022-01-21,2022,1,1,January,3,4,Friday,False,2022-01,True,True,True,False,False
22,2022-01-22,2022,1,1,January,3,5,Saturday,True,2022-01,True,True,True,False,False
23,2022-01-23,2022,1,1,January,3,6,Sunday,True,2022-01,True,True,True,False,False
24,2022-01-24,2022,1,1,January,4,0,Monday,False,2022-01,True,True,True,False,False
25,2022-01-25,2022,1,1,January,4,1,Tuesday,False,2022-01,True,True,True,False,False
26,2022-01-26,2022,1,1,January,4,2,Wednesday,False,2022-01,True,True,True,False,False
27,2022-01-27,2022,1,1,January,4,3,Thursday,False,2022-01,True,True,True,False,False
28,2022-01-28,2022,1,1,January,4,4,Friday,False,2022-01,True,True,True,False,False
29,2022-01-29,2022,1,1,January,4,5,Saturday,True,2022-01,True,True,True,False,False
30,2022-01-30,2022,1,1,January,4,6,Sunday,True,2022-01,True,True,True,False,False
31,2022-01-31,2022,1,1,January,5,0,Monday,False,2022-01,True,True,True,False,False
32,2022-02-01,2022,1,2,February,5,1,Tuesday,False,2022-02,True,True,False,False,False
33,2022-02-02,2022,1,2,February,5,2,Wednesday,False,2022-02,True,True,False,False,False
34,2022-02-03,2022,1,2,February,5,3,Thursday,False,2022-02,True,True,False,False,False
35,2022-02-04,2022,1,2,February,5,4,Friday,False,2022-02,True,True,False,False,False
36,2022-02-05,2022,1,2,February,5,5,Saturday,True,2022-02,True,True,False,False,False
37,2022-02-06,2022,1,2,February,5,6,Sunday,True,2022-02,True,True,False,False,False
38,2022-02-07,2022,1,2,February,6,0,Monday,False,2022-02,True,True,False,False,False
39,2022-02-08,2022,1,2,February,6,1,Tuesday,False,2022-02,True,True,False,False,False
40,2022-02-09,2022,1,2,February,6,2,Wednesday,False,2022-02,True,True,False,False,False
41,2022-02-10,2022,1,2,February,6,3,Thursday,False,2022-02,True,True,False,False,False
42,2022-02-11,2022,1,2,February,6,4,Friday,False,2022-02,True,True,False,False,False
43,2022-02-12,2022,1,2,February,6,5,Saturday,True,2022-02,True,True,False,False,False
44,2022-02-13,2022,1,2,February,6,6,Sunday,True,2022-02,True,True,False,False,False
45,2022-02-14,2022,1,2,February,7,0,Monday,False,2022-02,True,True,False,False,False
46,2022-02-15,2022,1,2,February,7,1,Tuesday,False,2022-02,True,True,False,False,False
47,2022-02-16,2022,1,2,February,7,2,Wednesday,False,2022-02,True,True,False,False,False
48,2022-02-17,2022,1,2,February,7,3,Thursday,False,2022-02,True,True,False,False,False
49,2022-02-18,2022,1,2,February,7,4,Friday,False,2022-02,True,True,False,False,False
50,2022-02-19,2022,1,2,February,7,5,Saturday,True,2022-02,True,True,False,False,False
51,2022-02-20,2022,1,2,February,7,6,Sunday,True,2022-02,True,True,False,False,False
52,2022-02-21,2022,1,2,February,8,0,Monday,False,2022-02,True,True,False,False,False
53,2022-02-22,2022,1,2,February,8,1,Tuesday,False,2022-02,True,True,False,False,False
54,2022-02-23,2022,1,2,February,8,2,Wednesday,False,2022-02,True,True,False,False,False
55,2022-02-24,2022,1,2,February,8,3,Thursday,False,2022-02,True,True,False,False,False
56,2022-02-25,2022,1,2,February,8,4,Friday,False,2022-02,True,True,False,False,False
57,2022-02-26,2022,1,2,February,8,5,Saturday,True,2022-02,True,True,False,False,False
58,2022-02-27,2022,1,2,February,8,6,Sunday,True,2022-02,True,True,False,False,False
59,2022-02-28,2022,1,2,February,9,0,Monday,False,2022-02,True,True,False,False,False
60,2022-03-01,2022,1,3,March,9,1,Tuesday,False,2022-03,True,True,False,False,False
61,2022-03-02,2022,1,3,March,9,2,Wednesday,False,2022-03,True,True,False,False,False
62,2022-03-03,2022,1,3,March,9,3,Thursday,False,2022-03,True,True,False,False,False
63,2022-03-04,2022,1,3,March,9,4,Friday,False,2022-03,True,True,False,False,False
64,2022-03-05,2022,1,3,March,9,5,Saturday,True,2022-03,True,True,False,False,False
65,2022-03-06,2022,1,3,March,9,6,Sunday,True,2022-03,True,True,False,False,False
66,2022-03-07,2022,1,3,March,10,0,Monday,False,2022-03,True,True,False,False,False
67,2022-03-08,2022,1,3,March,10,1,Tuesday,False,2022-03,True,True,False,False,False
68,2022-03-09,2022,1,3,March,10,2,Wednesday,False,2022-03,True,True,False,False,False
69,2022-03-10,2022,1,3,March,10,3,Thursday,False,2022-03,True,True,False,False,False
70,2022-03-11,2022,1,3,March,10,4,Friday,False,2022-03,True,True,False,False,False
71,2022-03-12,2022,1,3,March,10,5,Saturday,True,2022-03,True,True,False,False,False
72,2022-03-13,2022,1,3,March,10,6,Sunday,True,2022-03,True,True,False,False,False
73,2022-03-14,2022,1,3,March,11,0,Monday,False,2022-03,True,True,False,False,False
74,2022-03-15,2022,1,3,March,11,1,Tuesday,False,2022-03,True,True,False,False,False
75,2022-03-16,2022,1,3,March,11,2,Wednesday,False,2022-03,True,True,False,False,False
76,2022-03-17,2022,1,3,March,11,3,Thursday,False,2022-03,True,True,False,False,False
77,2022-03-18,2022,1,3,March,11,4,Friday,False,2022-03,True,True,False,False,False
78,2022-03-19,2022,1,3,March,11,5,Saturday,True,2022-03,True,True,False,False,False
79,2022-03-20,2022,1,3,March,11,6,Sunday,True,2022-03,True,True,False,False,False
80,2022-03-21,2022,1,3,March,12,0,Monday,False,2022-03,True,True,False,False,False
81,2022-03-22,2022,1,3,March,12,1,Tuesday,False,2022-03,True,True,False,False,False
82,2022-03-23,2022,1,3,March,12,2,Wednesday,False,2022-03,True,True,False,False,False
83,2022-03-24,2022,1,3,March,12,3,Thursday,False,2022-03,True,True,False,False,False
84,2022-03-25,2022,1,3,March,12,4,Friday,False,2022-03,True,True,False,False,False
85,2022-03-26,2022,1,3,March,12,5,Saturday,True,2022-03,True,True,False,False,False
86,2022-03-27,2022,1,3,March,12,6,Sunday,True,2022-03,True,True,False,False,False
87,2022-03-28,2022,1,3,March,13,0,Monday,False,2022-03,True,True,False,False,False
88,2022-03-29,2022,1,3,March,13,1,Tuesday,False,2022-03,True,True,False,False,False
89,2022-03-30,2022,1,3,March,13,2,Wednesday,False,2022-03,True,True,False,False,False
90,2022-03-31,2022,1,3,March,13,3,Thursday,False,2022-03,True,True,False,False,False
91,2022-04-01,2022,2,4,April,13,4,Friday,False,2022-04,False,False,False,True,False
92,2022-04-02,2022,2,4,April,13,5,Saturday,True,2022-04,False,False,False,True,False
93,2022-04-03,2022,2,4,April,13,6,Sunday,True,2022-04,False,False,False,True,False
94,2022-04-04,2022,2,4,April,14,0,Monday,False,2022-04,False,False,False,True,False
95,2022-04-05,2022,2,4,April,14,1,Tuesday,False,2022-04,False,False,False,True,False
96,2022-04-06,2022,2,4,April,14,2,Wednesday,False,2022-04,False,False,False,True,False
97,2022-04-07,2022,2,4,April,14,3,Thursday,False,2022-04,False,False,False,True,False
98,2022-04-08,2022,2,4,April,14,4,Friday,False,2022-04,False,False,False,True,False
99,2022-04-09,2022,2,4,April,14,5,Saturday,True,2022-04,False,False,False,True,False
100,2022-04-10,2022,2,4,April,14,6,Sunday,True,2022-04,False,False,False,True,False
101,2022-04-11,2022,2,4,April,15,0,Monday,False,2022-04,False,False,False,True,False
102,2022-04-12,2022,2,4,April,15,1,Tuesday,False,2022-04,False,False,False,True,False
103,2022-04-13,2022,2,4,April,15,2,Wednesday,False,2022-04,False,False,False,True,False
104,2022-04-14,2022,2,4,April,15,3,Thursday,False,2022-04,False,False,False,True,False
105,2022-04-15,2022,2,4,April,15,4,Friday,False,2022-04,False,False,False,True,False
106,2022-04-16,2022,2,4,April,15,5,Saturday,True,2022-04,False,False,False,True,False
107,2022-04-17,2022,2,4,April,15,6,Sunday,True,2022-04,False,False,False,True,False
108,2022-04-18,2022,2,4,April,16,0,Monday,False,2022-04,False,False,False,True,False
109,2022-04-19,2022,2,4,April,16,1,Tuesday,False,2022-04,False,False,False,True,False
110,2022-04-20,2022,2,4,April,16,2,Wednesday,False,2022-04,False,False,False,True,False
111,2022-04-21,2022,2,4,April,16,3,Thursday,False,2022-04,False,False,False,True,False
112,2022-04-22,2022,2,4,April,16,4,Friday,False,2022-04,False,False,False,True,False
113,2022-04-23,2022,2,4,April,16,5,Saturday,True,2022-04,False,False,False,True,False
114,2022-04-24,2022,2,4,April,16,6,Sunday,True,2022-04,False,False,False,True,False
115,2022-04-25,2022,2,4,April,17,0,Monday,False,2022-04,False,False,False,True,False
116,2022-04-26,2022,2,4,April,17,1,Tuesday,False,2022-04,False,False,False,True,False
117,2022-04-27,2022,2,4,April,17,2,Wednesday,False,2022-04,False,False,False,True,False
118,2022-04-28,2022,2,4,April,17,3,Thursday,False,2022-04,False,False,False,True,False
119,2022-04-29,2022,2,4,April,17,4,Friday,False,2022-04,False,False,False,True,False
120,2022-04-30,2022,2,4,April,17,5,Saturday,True,2022-04,False,False,False,True,False
121,2022-05-01,2022,2,5,May,17,6,Sunday,True,2022-05,False,False,False,False,True
122,2022-05-02,2022,2,5,May,18,0,Monday,False,2022-05,False,False,False,False,True
123,2022-05-03,2022,2,5,May,18,1,Tuesday,False,2022-05,False,False,False,False,True
124,2022-05-04,2022,2,5,May,18,2,Wednesday,False,2022-05,False,False,False,False,True
125,2022-05-05,2022,2,5,May,18,3,Thursday,False,2022-05,False,False,False,False,True
126,2022-05-06,2022,2,5,May,18,4,Friday,False,2022-05,False,False,False,False,True
127,2022-05-07,2022,2,5,May,18,5,Saturday,True,2022-05,False,False,False,False,True
128,2022-05-08,2022,2,5,May,18,6,Sunday,True,2022-05,False,False,False,False,True
129,2022-05-09,2022,2,5,May,19,0,Monday,False,2022-05,False,False,False,False,True
130,2022-05-10,2022,2,5,May,19,1,Tuesday,False,2022-05,False,False,False,False,True
131,2022-05-11,2022,2,5,May,19,2,Wednesday,False,2022-05,False,False,False,False,True
132,2022-05-12,2022,2,5,May,19,3,Thursday,False,2022-05,False,False,False,False,True
133,2022-05-13,2022,2,5,May,19,4,Friday,False,2022-05,False,False,False,False,True
134,2022-05-14,2022,2,5,May,19,5,Saturday,True,2022-05,False,False,False,False,True
135,2022-05-15,2022,2,5,May,19,6,Sunday,True,2022-05,False,False,False,False,True
136,2022-05-16,2022,2,5,May,20,0,Monday,False,2022-05,False,False,False,False,True
137,2022-05-17,2022,2,5,May,20,1,Tuesday,False,2022-05,False,False,False,False,True
